city,settle_date,market,forecast_blurred,actual,lo,hi,p_model,p_market,edge,action,entry_price,pnl_per_contract,won_bet
CHI,2026-05-05,KXHIGHCHI-26MAY05-B58.5,60.38,60.2,58.5,59.5,0.082,0.32,-0.238,NO,0.7,0.29,True
CHI,2026-05-06,KXHIGHCHI-26MAY06-B57.5,57.17,56.1,57.5,58.5,0.071,0.6,-0.529,NO,0.42,0.56,True
CHI,2026-05-06,KXHIGHCHI-26MAY06-B59.5,57.17,56.1,59.5,60.5,0.068,0.25,-0.182,NO,0.77,0.22,True
CHI,2026-05-07,KXHIGHCHI-26MAY07-B60.5,63.38,59.6,60.5,61.5,0.09,0.87,-0.78,NO,0.15,0.84,True
CHI,2026-05-08,KXHIGHCHI-26MAY08-B69.5,63.2,67.4,69.5,70.5,0.0,0.2,-0.2,NO,0.82,0.17,True
CHI,2026-05-08,KXHIGHCHI-26MAY08-B65.5,63.2,67.4,65.5,66.5,0.074,0.43,-0.356,NO,0.59,0.39,True
CHI,2026-05-08,KXHIGHCHI-26MAY08-B67.5,63.2,67.4,67.5,68.5,0.008,0.48,-0.472,NO,0.54,0.44,True
CHI,2026-05-09,KXHIGHCHI-26MAY09-B72.5,76.9,73.8,72.5,73.5,0.18,0.54,-0.36,NO,0.48,0.5,True
CHI,2026-05-09,KXHIGHCHI-26MAY09-B74.5,76.9,73.8,74.5,75.5,0.064,0.42,-0.356,NO,0.6,0.38,True
CHI,2026-05-09,KXHIGHCHI-26MAY09-B70.5,76.9,73.8,70.5,71.5,0.042,0.23,-0.188,NO,0.79,0.2,True
LAX,2026-05-01,KXHIGHLAX-26MAY01-B72.5,64.25,69.9,72.5,73.5,0.0,0.15,-0.15,NO,0.87,0.12,True
LAX,2026-05-01,KXHIGHLAX-26MAY01-B68.5,64.25,69.9,68.5,69.5,0.053,0.28,-0.227,NO,0.74,0.25,True
LAX,2026-05-01,KXHIGHLAX-26MAY01-B70.5,64.25,69.9,70.5,71.5,0.017,0.55,-0.533,NO,0.47,0.51,True
LAX,2026-05-01,KXHIGHLAX-26MAY01-B74.5,64.25,69.9,74.5,75.5,0.0,0.3,-0.3,NO,0.72,0.27,True
LAX,2026-05-02,KXHIGHLAX-26MAY02-B67.5,63.5,66.5,67.5,68.5,0.068,0.34,-0.272,NO,0.68,0.3,True
LAX,2026-05-02,KXHIGHLAX-26MAY02-B71.5,63.5,66.5,71.5,72.5,0.0,0.48,-0.48,NO,0.54,0.44,True
LAX,2026-05-02,KXHIGHLAX-26MAY02-B65.5,63.5,66.5,65.5,66.5,0.073,0.3,-0.227,NO,0.72,0.27,True
LAX,2026-05-03,KXHIGHLAX-26MAY03-B64.5,66.29,62.9,64.5,65.5,0.117,0.45,-0.333,NO,0.57,0.41,True
LAX,2026-05-03,KXHIGHLAX-26MAY03-B70.5,66.29,62.9,70.5,71.5,0.054,0.26,-0.206,NO,0.76,0.23,True
LAX,2026-05-03,KXHIGHLAX-26MAY03-B68.5,66.29,62.9,68.5,69.5,0.069,0.36,-0.291,NO,0.66,0.32,True
LAX,2026-05-03,KXHIGHLAX-26MAY03-B66.5,66.29,62.9,66.5,67.5,0.092,0.65,-0.558,NO,0.37,0.61,True
LAX,2026-05-04,KXHIGHLAX-26MAY04-B66.5,69.46,65.2,66.5,67.5,0.061,0.71,-0.649,NO,0.31,0.68,True
LAX,2026-05-04,KXHIGHLAX-26MAY04-B68.5,69.46,65.2,68.5,69.5,0.127,0.54,-0.413,NO,0.48,0.5,True
LAX,2026-05-04,KXHIGHLAX-26MAY04-B62.5,69.46,65.2,62.5,63.5,0.037,0.39,-0.353,NO,0.63,0.35,True
LAX,2026-05-05,KXHIGHLAX-26MAY05-B68.5,69.53,63.4,68.5,69.5,0.13,0.28,-0.15,NO,0.74,0.25,True
LAX,2026-05-05,KXHIGHLAX-26MAY05-B66.5,69.53,63.4,66.5,67.5,0.061,0.67,-0.609,NO,0.35,0.63,True
LAX,2026-05-06,KXHIGHLAX-26MAY06-B68.5,70.88,68.4,68.5,69.5,0.084,0.67,-0.586,NO,0.35,0.63,True
LAX,2026-05-06,KXHIGHLAX-26MAY06-B70.5,70.88,68.4,70.5,71.5,0.11,0.31,-0.2,NO,0.71,0.28,True
LAX,2026-05-06,KXHIGHLAX-26MAY06-B66.5,70.88,68.4,66.5,67.5,0.067,0.16,-0.093,NO,0.86,0.13,True
LAX,2026-05-07,KXHIGHLAX-26MAY07-B70.5,67.45,68.9,70.5,71.5,0.053,0.29,-0.237,NO,0.73,0.26,True
LAX,2026-05-07,KXHIGHLAX-26MAY07-B74.5,67.45,68.9,74.5,75.5,0.006,0.11,-0.104,NO,0.91,0.08,True
LAX,2026-05-07,KXHIGHLAX-26MAY07-B72.5,67.45,68.9,72.5,73.5,0.027,0.13,-0.103,NO,0.89,0.1,True
LAX,2026-05-07,KXHIGHLAX-26MAY07-B68.5,67.45,68.9,68.5,69.5,0.095,0.66,-0.565,NO,0.36,-0.38,False
LAX,2026-05-08,KXHIGHLAX-26MAY08-B70.5,65.81,68.4,70.5,71.5,0.032,0.3,-0.268,NO,0.72,0.27,True
LAX,2026-05-08,KXHIGHLAX-26MAY08-B74.5,65.81,68.4,74.5,75.5,0.0,0.19,-0.19,NO,0.83,0.16,True
LAX,2026-05-08,KXHIGHLAX-26MAY08-B68.5,65.81,68.4,68.5,69.5,0.066,0.87,-0.804,NO,0.15,0.84,True
LAX,2026-05-09,KXHIGHLAX-26MAY09-B75.5,70.47,69.3,75.5,76.5,0.027,0.24,-0.213,NO,0.78,0.21,True
LAX,2026-05-09,KXHIGHLAX-26MAY09-B71.5,70.47,69.3,71.5,72.5,0.094,0.21,-0.116,NO,0.81,0.18,True
LAX,2026-05-09,KXHIGHLAX-26MAY09-B73.5,70.47,69.3,73.5,74.5,0.053,0.22,-0.167,NO,0.8,0.19,True
LAX,2026-05-09,KXHIGHLAX-26MAY09-B69.5,70.47,69.3,69.5,70.5,0.128,0.66,-0.532,NO,0.36,0.62,True
LAX,2026-05-10,KXHIGHLAX-26MAY10-B72.5,68.13,68.2,72.5,73.5,0.051,0.28,-0.229,NO,0.74,0.25,True
MIA,2026-04-30,KXHIGHMIA-26APR30-B89.5,82.07,88.8,89.5,90.5,0.01,0.46,-0.45,NO,0.56,0.42,True
MIA,2026-04-30,KXHIGHMIA-26APR30-B87.5,82.07,88.8,87.5,88.5,0.008,0.32,-0.312,NO,0.7,0.29,True
MIA,2026-05-01,KXHIGHMIA-26MAY01-B88.5,85.0,88.6,88.5,89.5,0.031,0.67,-0.639,NO,0.35,-0.37,False
MIA,2026-05-01,KXHIGHMIA-26MAY01-B86.5,85.0,88.6,86.5,87.5,0.052,0.2,-0.148,NO,0.82,0.17,True
MIA,2026-05-01,KXHIGHMIA-26MAY01-B90.5,85.0,88.6,90.5,91.5,0.007,0.42,-0.413,NO,0.6,0.38,True
MIA,2026-05-02,KXHIGHMIA-26MAY02-B91.5,92.94,93.9,91.5,92.5,0.076,0.35,-0.274,NO,0.67,0.31,True
MIA,2026-05-02,KXHIGHMIA-26MAY02-B93.5,92.94,93.9,93.5,94.5,0.098,0.46,-0.362,NO,0.56,-0.58,False
MIA,2026-05-03,KXHIGHMIA-26MAY03-B85.5,83.29,83.6,85.5,86.5,0.069,0.19,-0.121,NO,0.83,0.16,True
MIA,2026-05-03,KXHIGHMIA-26MAY03-B83.5,83.29,83.6,83.5,84.5,0.082,0.5,-0.418,NO,0.52,-0.54,False
MIA,2026-05-03,KXHIGHMIA-26MAY03-B81.5,83.29,83.6,81.5,82.5,0.094,0.44,-0.346,NO,0.58,0.4,True
MIA,2026-05-04,KXHIGHMIA-26MAY04-B81.5,81.23,80.5,81.5,82.5,0.103,0.29,-0.187,NO,0.73,0.26,True
MIA,2026-05-04,KXHIGHMIA-26MAY04-B85.5,81.23,80.5,85.5,86.5,0.023,0.22,-0.197,NO,0.8,0.19,True
