city,settle_date,market,forecast,actual,lo,hi,p_model,p_market,edge,action,entry_price,won_yes,pnl_per_contract
LAX,2026-05-04,KXHIGHLAX-26MAY04-B68.5,67.7,65.2,68.5,69.5,0.151,0.54,-0.389,NO,0.48,False,0.5
LAX,2026-05-04,KXHIGHLAX-26MAY04-B62.5,67.7,65.2,62.5,63.5,0.012,0.39,-0.378,NO,0.63,False,0.35
LAX,2026-05-05,KXHIGHLAX-26MAY05-B70.5,67.4,63.4,70.5,71.5,0.032,0.13,-0.098,NO,0.89,False,0.1
LAX,2026-05-05,KXHIGHLAX-26MAY05-B68.5,67.4,63.4,68.5,69.5,0.152,0.28,-0.128,NO,0.74,False,0.25
LAX,2026-05-05,KXHIGHLAX-26MAY05-B66.5,67.4,63.4,66.5,67.5,0.213,0.67,-0.457,NO,0.35,False,0.63
LAX,2026-05-06,KXHIGHLAX-26MAY06-B68.5,68.5,68.4,68.5,69.5,0.145,0.67,-0.525,NO,0.35,False,0.63
LAX,2026-05-06,KXHIGHLAX-26MAY06-B70.5,68.5,68.4,70.5,71.5,0.117,0.31,-0.193,NO,0.71,False,0.28
LAX,2026-05-07,KXHIGHLAX-26MAY07-B70.5,68.5,68.9,70.5,71.5,0.117,0.29,-0.173,NO,0.73,False,0.26
LAX,2026-05-07,KXHIGHLAX-26MAY07-B74.5,68.5,68.9,74.5,75.5,0.0,0.11,-0.11,NO,0.91,False,0.08
LAX,2026-05-07,KXHIGHLAX-26MAY07-B72.5,68.5,68.9,72.5,73.5,0.011,0.13,-0.119,NO,0.89,False,0.1
LAX,2026-05-07,KXHIGHLAX-26MAY07-B68.5,68.5,68.9,68.5,69.5,0.145,0.66,-0.515,NO,0.36,True,-0.38
LAX,2026-05-08,KXHIGHLAX-26MAY08-B70.5,67.2,68.4,70.5,71.5,0.027,0.3,-0.273,NO,0.72,False,0.27
LAX,2026-05-08,KXHIGHLAX-26MAY08-B74.5,67.2,68.4,74.5,75.5,0.0,0.19,-0.19,NO,0.83,False,0.16
LAX,2026-05-08,KXHIGHLAX-26MAY08-B68.5,67.2,68.4,68.5,69.5,0.115,0.87,-0.755,NO,0.15,False,0.84
LAX,2026-05-09,KXHIGHLAX-26MAY09-B75.5,67.9,69.3,75.5,76.5,0.0,0.24,-0.24,NO,0.78,False,0.21
LAX,2026-05-09,KXHIGHLAX-26MAY09-B71.5,67.9,69.3,71.5,72.5,0.025,0.21,-0.185,NO,0.81,False,0.18
LAX,2026-05-09,KXHIGHLAX-26MAY09-B73.5,67.9,69.3,73.5,74.5,0.0,0.22,-0.22,NO,0.8,False,0.19
LAX,2026-05-09,KXHIGHLAX-26MAY09-B69.5,67.9,69.3,69.5,70.5,0.112,0.66,-0.548,NO,0.36,False,0.62
LAX,2026-05-10,KXHIGHLAX-26MAY10-B72.5,68.7,68.2,72.5,73.5,0.014,0.28,-0.266,NO,0.74,False,0.25
MIA,2026-04-30,KXHIGHMIA-26APR30-B89.5,85.9,88.8,89.5,90.5,0.0,0.46,-0.46,NO,0.56,False,0.42
MIA,2026-04-30,KXHIGHMIA-26APR30-B87.5,85.9,88.8,87.5,88.5,0.04,0.32,-0.28,NO,0.7,False,0.29
MIA,2026-05-01,KXHIGHMIA-26MAY01-B88.5,88.4,88.6,88.5,89.5,0.191,0.67,-0.479,NO,0.35,True,-0.37
MIA,2026-05-01,KXHIGHMIA-26MAY01-B90.5,88.4,88.6,90.5,91.5,0.047,0.42,-0.373,NO,0.6,False,0.38
MIA,2026-05-02,KXHIGHMIA-26MAY02-B91.5,95.7,93.9,91.5,92.5,0.017,0.35,-0.333,NO,0.67,False,0.31
MIA,2026-05-02,KXHIGHMIA-26MAY02-B93.5,95.7,93.9,93.5,94.5,0.16,0.46,-0.3,NO,0.56,True,-0.58
