city,settle_date,market,forecast,actual,lo,hi,p_model,p_market,edge,action,entry_price,won_yes,pnl_per_contract
CHI,2026-05-11,KXHIGHCHI-26MAY11-B53.5,56.5,55.6,53.5,54.5,0.241,0.12,0.121,YES,0.14,False,-0.15
CHI,2026-05-11,KXHIGHCHI-26MAY11-B59.5,56.5,55.6,59.5,60.5,0.0,0.17,-0.17,NO,0.85,False,0.14
CHI,2026-05-12,KXHIGHCHI-26MAY12-B77.5,72.8,73.5,77.5,78.5,0.0,0.42,-0.42,NO,0.6,False,0.38
CHI,2026-05-12,KXHIGHCHI-26MAY12-B75.5,72.8,73.5,75.5,76.5,0.007,0.28,-0.273,NO,0.74,False,0.25
CHI,2026-05-12,KXHIGHCHI-26MAY12-B79.5,72.8,73.5,79.5,80.5,0.0,0.12,-0.12,NO,0.9,False,0.09
CHI,2026-05-12,KXHIGHCHI-26MAY12-B73.5,72.8,73.5,73.5,74.5,0.155,0.78,-0.625,NO,0.24,True,-0.25
CHI,2026-05-13,KXHIGHCHI-26MAY13-B60.5,64.8,66.6,60.5,61.5,0.061,0.42,-0.359,NO,0.6,False,0.38
CHI,2026-05-14,KXHIGHCHI-26MAY14-B66.5,67.0,67.2,66.5,67.5,0.13,0.22,-0.09,NO,0.8,True,-0.81
CHI,2026-05-14,KXHIGHCHI-26MAY14-B64.5,67.0,67.2,64.5,65.5,0.225,0.62,-0.395,NO,0.4,False,0.58
CHI,2026-05-14,KXHIGHCHI-26MAY14-B62.5,67.0,67.2,62.5,63.5,0.044,0.14,-0.096,NO,0.88,False,0.11
CHI,2026-05-14,KXHIGHCHI-26MAY14-B68.5,67.0,67.2,68.5,69.5,0.064,0.2,-0.136,NO,0.82,False,0.17
CHI,2026-05-15,KXHIGHCHI-26MAY15-B75.5,75.0,74.8,75.5,76.5,0.163,0.26,-0.097,NO,0.76,False,0.23
CHI,2026-05-15,KXHIGHCHI-26MAY15-B77.5,75.0,74.8,77.5,78.5,0.018,0.2,-0.182,NO,0.82,False,0.17
CHI,2026-05-15,KXHIGHCHI-26MAY15-B71.5,75.0,74.8,71.5,72.5,0.16,0.27,-0.11,NO,0.75,False,0.24
CHI,2026-05-15,KXHIGHCHI-26MAY15-B73.5,75.0,74.8,73.5,74.5,0.114,0.24,-0.126,NO,0.78,False,0.21
CHI,2026-05-16,KXHIGHCHI-26MAY16-B85.5,83.2,83.2,85.5,86.5,0.029,0.26,-0.231,NO,0.76,False,0.23
CHI,2026-05-16,KXHIGHCHI-26MAY16-B83.5,83.2,83.2,83.5,84.5,0.138,0.4,-0.262,NO,0.62,False,0.36
CHI,2026-05-17,KXHIGHCHI-26MAY17-B84.5,86.0,86.5,84.5,85.5,0.114,0.32,-0.206,NO,0.7,False,0.29
CHI,2026-05-17,KXHIGHCHI-26MAY17-B86.5,86.0,86.5,86.5,87.5,0.163,0.64,-0.477,NO,0.38,True,-0.4
CHI,2026-05-18,KXHIGHCHI-26MAY18-B86.5,79.6,81.0,86.5,87.5,0.0,0.11,-0.11,NO,0.91,False,0.08
CHI,2026-05-18,KXHIGHCHI-26MAY18-B84.5,79.6,81.0,84.5,85.5,0.0,0.13,-0.13,NO,0.89,False,0.1
CHI,2026-05-18,KXHIGHCHI-26MAY18-B82.5,79.6,81.0,82.5,83.5,0.0,0.24,-0.24,NO,0.78,False,0.21
CHI,2026-05-19,KXHIGHCHI-26MAY19-B80.5,79.1,80.2,80.5,81.5,0.069,0.43,-0.361,NO,0.59,False,0.39
CHI,2026-05-19,KXHIGHCHI-26MAY19-B82.5,79.1,80.2,82.5,83.5,0.0,0.36,-0.36,NO,0.66,False,0.32
CHI,2026-05-19,KXHIGHCHI-26MAY19-B78.5,79.1,80.2,78.5,79.5,0.145,0.73,-0.585,NO,0.29,False,0.7
LAX,2026-05-11,KXHIGHLAX-26MAY11-B75.5,65.3,68.9,75.5,76.5,0.0,0.1,-0.1,NO,0.92,False,0.07
LAX,2026-05-11,KXHIGHLAX-26MAY11-B69.5,65.3,68.9,69.5,70.5,0.008,0.63,-0.622,NO,0.39,False,0.59
LAX,2026-05-11,KXHIGHLAX-26MAY11-B71.5,65.3,68.9,71.5,72.5,0.0,0.1,-0.1,NO,0.92,False,0.07
LAX,2026-05-12,KXHIGHLAX-26MAY12-B67.5,66.3,65.9,67.5,68.5,0.116,0.61,-0.494,NO,0.41,False,0.57
LAX,2026-05-12,KXHIGHLAX-26MAY12-B65.5,66.3,65.9,65.5,66.5,0.179,0.57,-0.391,NO,0.45,True,-0.47
LAX,2026-05-13,KXHIGHLAX-26MAY13-B63.5,68.6,65.6,63.5,64.5,0.014,0.15,-0.136,NO,0.87,False,0.12
LAX,2026-05-13,KXHIGHLAX-26MAY13-B61.5,68.6,65.6,61.5,62.5,0.0,0.11,-0.11,NO,0.91,False,0.08
LAX,2026-05-13,KXHIGHLAX-26MAY13-B67.5,68.6,65.6,67.5,68.5,0.224,0.31,-0.086,NO,0.71,False,0.28
LAX,2026-05-13,KXHIGHLAX-26MAY13-B65.5,68.6,65.6,65.5,66.5,0.12,0.22,-0.1,NO,0.8,True,-0.81
LAX,2026-05-14,KXHIGHLAX-26MAY14-B69.5,68.7,67.8,69.5,70.5,0.151,0.57,-0.419,NO,0.45,False,0.53
LAX,2026-05-14,KXHIGHLAX-26MAY14-B67.5,68.7,67.8,67.5,68.5,0.198,0.3,-0.102,NO,0.72,True,-0.73
LAX,2026-05-15,KXHIGHLAX-26MAY15-B69.5,67.7,66.5,69.5,70.5,0.114,0.29,-0.176,NO,0.73,False,0.26
LAX,2026-05-15,KXHIGHLAX-26MAY15-B71.5,67.7,66.5,71.5,72.5,0.014,0.24,-0.226,NO,0.78,False,0.21
LAX,2026-05-15,KXHIGHLAX-26MAY15-B67.5,67.7,66.5,67.5,68.5,0.154,0.8,-0.646,NO,0.22,False,0.77
LAX,2026-05-16,KXHIGHLAX-26MAY16-B65.5,68.3,65.6,65.5,66.5,0.114,0.31,-0.196,NO,0.71,True,-0.72
LAX,2026-05-16,KXHIGHLAX-26MAY16-B71.5,68.3,65.6,71.5,72.5,0.029,0.2,-0.171,NO,0.82,False,0.17
LAX,2026-05-16,KXHIGHLAX-26MAY16-B67.5,68.3,65.6,67.5,68.5,0.179,0.5,-0.321,NO,0.52,False,0.46
LAX,2026-05-16,KXHIGHLAX-26MAY16-B69.5,68.3,65.6,69.5,70.5,0.116,0.66,-0.544,NO,0.36,False,0.62
LAX,2026-05-17,KXHIGHLAX-26MAY17-B68.5,67.6,66.7,68.5,69.5,0.132,0.39,-0.258,NO,0.63,False,0.35
LAX,2026-05-17,KXHIGHLAX-26MAY17-B66.5,67.6,66.7,66.5,67.5,0.224,0.1,0.124,YES,0.12,True,0.87
LAX,2026-05-17,KXHIGHLAX-26MAY17-B70.5,67.6,66.7,70.5,71.5,0.042,0.44,-0.398,NO,0.58,False,0.4
LAX,2026-05-18,KXHIGHLAX-26MAY18-B73.5,70.4,70.1,73.5,74.5,0.032,0.23,-0.198,NO,0.79,False,0.2
LAX,2026-05-18,KXHIGHLAX-26MAY18-B71.5,70.4,70.1,71.5,72.5,0.152,0.78,-0.628,NO,0.24,False,0.75
LAX,2026-05-19,KXHIGHLAX-26MAY19-B73.5,73.7,72.1,73.5,74.5,0.154,0.37,-0.216,NO,0.65,False,0.33
LAX,2026-05-19,KXHIGHLAX-26MAY19-B71.5,73.7,72.1,71.5,72.5,0.12,0.3,-0.18,NO,0.72,True,-0.73
LAX,2026-05-19,KXHIGHLAX-26MAY19-B77.5,73.7,72.1,77.5,78.5,0.014,0.14,-0.126,NO,0.88,False,0.11
LAX,2026-05-20,KXHIGHLAX-26MAY20-B71.5,76.6,78.1,71.5,72.5,0.014,0.12,-0.106,NO,0.9,False,0.09
LAX,2026-05-20,KXHIGHLAX-26MAY20-B73.5,76.6,78.1,73.5,74.5,0.12,0.57,-0.45,NO,0.45,False,0.53
MIA,2026-05-10,KXHIGHMIA-26MAY10-B90.5,90.2,91.5,90.5,91.5,0.181,0.6,-0.419,NO,0.42,False,0.56
MIA,2026-05-10,KXHIGHMIA-26MAY10-B92.5,90.2,91.5,92.5,93.5,0.053,0.22,-0.167,NO,0.8,False,0.19
MIA,2026-05-11,KXHIGHMIA-26MAY11-B92.5,89.0,88.3,92.5,93.5,0.0,0.31,-0.31,NO,0.71,False,0.28
MIA,2026-05-11,KXHIGHMIA-26MAY11-B90.5,89.0,88.3,90.5,91.5,0.044,0.57,-0.526,NO,0.45,False,0.53
MIA,2026-05-12,KXHIGHMIA-26MAY12-B85.5,90.9,92.1,85.5,86.5,0.0,0.24,-0.24,NO,0.78,False,0.21
MIA,2026-05-12,KXHIGHMIA-26MAY12-B87.5,90.9,92.1,87.5,88.5,0.063,0.16,-0.097,NO,0.86,False,0.13
MIA,2026-05-12,KXHIGHMIA-26MAY12-B89.5,90.9,92.1,89.5,90.5,0.304,0.69,-0.386,NO,0.33,False,0.65
MIA,2026-05-13,KXHIGHMIA-26MAY13-B87.5,92.2,90.0,87.5,88.5,0.0,0.27,-0.27,NO,0.75,False,0.24
MIA,2026-05-13,KXHIGHMIA-26MAY13-B91.5,92.2,90.0,91.5,92.5,0.28,0.51,-0.23,NO,0.51,False,0.47
MIA,2026-05-13,KXHIGHMIA-26MAY13-B89.5,92.2,90.0,89.5,90.5,0.123,0.53,-0.407,NO,0.49,True,-0.51
MIA,2026-05-14,KXHIGHMIA-26MAY14-B88.5,94.7,92.7,88.5,89.5,0.0,0.15,-0.15,NO,0.87,False,0.12
MIA,2026-05-14,KXHIGHMIA-26MAY14-B90.5,94.7,92.7,90.5,91.5,0.017,0.42,-0.403,NO,0.6,False,0.38
MIA,2026-05-14,KXHIGHMIA-26MAY14-B92.5,94.7,92.7,92.5,93.5,0.16,0.5,-0.34,NO,0.52,True,-0.54
MIA,2026-05-15,KXHIGHMIA-26MAY15-B89.5,92.0,92.6,89.5,90.5,0.127,0.27,-0.143,NO,0.75,False,0.24
MIA,2026-05-15,KXHIGHMIA-26MAY15-B87.5,92.0,92.6,87.5,88.5,0.0,0.15,-0.15,NO,0.87,False,0.12
MIA,2026-05-15,KXHIGHMIA-26MAY15-B91.5,92.0,92.6,91.5,92.5,0.25,0.45,-0.2,NO,0.57,False,0.41
MIA,2026-05-16,KXHIGHMIA-26MAY16-B90.5,88.9,88.3,90.5,91.5,0.04,0.35,-0.31,NO,0.67,False,0.31
MIA,2026-05-16,KXHIGHMIA-26MAY16-B88.5,88.9,88.3,88.5,89.5,0.269,0.54,-0.271,NO,0.48,False,0.5
MIA,2026-05-17,KXHIGHMIA-26MAY17-B89.5,84.0,84.5,89.5,90.5,0.0,0.42,-0.42,NO,0.6,False,0.38
MIA,2026-05-17,KXHIGHMIA-26MAY17-B87.5,84.0,84.5,87.5,88.5,0.0,0.43,-0.43,NO,0.59,False,0.39
MIA,2026-05-18,KXHIGHMIA-26MAY18-B90.5,82.8,83.3,90.5,91.5,0.0,0.1,-0.1,NO,0.92,False,0.07
MIA,2026-05-18,KXHIGHMIA-26MAY18-B88.5,82.8,83.3,88.5,89.5,0.0,0.31,-0.31,NO,0.71,False,0.28
MIA,2026-05-18,KXHIGHMIA-26MAY18-B86.5,82.8,83.3,86.5,87.5,0.0,0.8,-0.8,NO,0.22,False,0.77
MIA,2026-05-19,KXHIGHMIA-26MAY19-B84.5,84.5,83.9,84.5,85.5,0.19,0.28,-0.09,NO,0.74,False,0.25
MIA,2026-05-19,KXHIGHMIA-26MAY19-B86.5,84.5,83.9,86.5,87.5,0.047,0.51,-0.463,NO,0.51,False,0.47
MIA,2026-05-19,KXHIGHMIA-26MAY19-B88.5,84.5,83.9,88.5,89.5,0.0,0.27,-0.27,NO,0.75,False,0.24
AUS,2026-05-10,KXHIGHAUS-26MAY10-B90.5,89.0,88.6,90.5,91.5,0.066,0.26,-0.194,NO,0.76,False,0.23
AUS,2026-05-10,KXHIGHAUS-26MAY10-B92.5,89.0,88.6,92.5,93.5,0.0,0.21,-0.21,NO,0.81,False,0.18
AUS,2026-05-11,KXHIGHAUS-26MAY11-B83.5,80.3,79.4,83.5,84.5,0.0,0.44,-0.44,NO,0.58,False,0.4
AUS,2026-05-11,KXHIGHAUS-26MAY11-B79.5,80.3,79.4,79.5,80.5,0.21,0.51,-0.3,NO,0.51,False,0.47
AUS,2026-05-11,KXHIGHAUS-26MAY11-B81.5,80.3,79.4,81.5,82.5,0.077,0.37,-0.293,NO,0.65,False,0.33
AUS,2026-05-12,KXHIGHAUS-26MAY12-B84.5,83.7,82.9,84.5,85.5,0.067,0.4,-0.333,NO,0.62,False,0.36
AUS,2026-05-12,KXHIGHAUS-26MAY12-B86.5,83.7,82.9,86.5,87.5,0.0,0.46,-0.46,NO,0.56,False,0.42
AUS,2026-05-13,KXHIGHAUS-26MAY13-B92.5,88.3,88.5,92.5,93.5,0.0,0.24,-0.24,NO,0.78,False,0.21
AUS,2026-05-13,KXHIGHAUS-26MAY13-B90.5,88.3,88.5,90.5,91.5,0.02,0.52,-0.5,NO,0.5,False,0.48
AUS,2026-05-14,KXHIGHAUS-26MAY14-B89.5,89.4,89.2,89.5,90.5,0.1,0.36,-0.26,NO,0.66,False,0.32
AUS,2026-05-14,KXHIGHAUS-26MAY14-B91.5,89.4,89.2,91.5,92.5,0.024,0.39,-0.366,NO,0.63,False,0.35
AUS,2026-05-14,KXHIGHAUS-26MAY14-B93.5,89.4,89.2,93.5,94.5,0.0,0.15,-0.15,NO,0.87,False,0.12
AUS,2026-05-15,KXHIGHAUS-26MAY15-B90.5,89.3,90.8,90.5,91.5,0.077,0.29,-0.213,NO,0.73,True,-0.74
AUS,2026-05-15,KXHIGHAUS-26MAY15-B92.5,89.3,90.8,92.5,93.5,0.0,0.49,-0.49,NO,0.53,False,0.45
AUS,2026-05-16,KXHIGHAUS-26MAY16-B91.5,88.2,88.1,91.5,92.5,0.0,0.27,-0.27,NO,0.75,False,0.24
AUS,2026-05-16,KXHIGHAUS-26MAY16-B89.5,88.2,88.1,89.5,90.5,0.078,0.33,-0.252,NO,0.69,False,0.3
AUS,2026-05-17,KXHIGHAUS-26MAY17-B91.5,86.6,88.6,91.5,92.5,0.0,0.23,-0.23,NO,0.79,False,0.2
AUS,2026-05-17,KXHIGHAUS-26MAY17-B93.5,86.6,88.6,93.5,94.5,0.0,0.23,-0.23,NO,0.79,False,0.2
AUS,2026-05-17,KXHIGHAUS-26MAY17-B89.5,86.6,88.6,89.5,90.5,0.0,0.25,-0.25,NO,0.77,False,0.22
AUS,2026-05-18,KXHIGHAUS-26MAY18-B94.5,91.1,91.6,94.5,95.5,0.0,0.15,-0.15,NO,0.87,False,0.12
AUS,2026-05-18,KXHIGHAUS-26MAY18-B92.5,91.1,91.6,92.5,93.5,0.076,0.3,-0.224,NO,0.72,False,0.27
AUS,2026-05-19,KXHIGHAUS-26MAY19-B92.5,91.7,91.0,92.5,93.5,0.067,0.16,-0.093,NO,0.86,False,0.13
AUS,2026-05-19,KXHIGHAUS-26MAY19-B88.5,91.7,91.0,88.5,89.5,0.164,0.25,-0.086,NO,0.77,False,0.22
NY,2026-05-20,KXHIGHNY-26MAY20-B93.5,93.1,92.7,93.5,94.5,0.155,0.33,-0.175,NO,0.69,False,0.3
NY,2026-05-20,KXHIGHNY-26MAY20-B91.5,93.1,92.7,91.5,92.5,0.107,0.66,-0.553,NO,0.36,False,0.62
NY,2026-05-21,KXHIGHNY-26MAY21-B72.5,67.0,69.9,72.5,73.5,0.0,0.1,-0.1,NO,0.92,False,0.07
NY,2026-05-21,KXHIGHNY-26MAY21-B70.5,67.0,69.9,70.5,71.5,0.042,0.35,-0.308,NO,0.67,False,0.31
NY,2026-05-22,KXHIGHNY-26MAY22-B67.5,68.2,69.1,67.5,68.5,0.225,0.66,-0.435,NO,0.36,False,0.62
NY,2026-05-22,KXHIGHNY-26MAY22-B63.5,68.2,69.1,63.5,64.5,0.042,0.16,-0.118,NO,0.86,False,0.13
NY,2026-05-22,KXHIGHNY-26MAY22-B65.5,68.2,69.1,65.5,66.5,0.137,0.58,-0.443,NO,0.44,False,0.54
NY,2026-05-23,KXHIGHNY-26MAY23-B54.5,56.9,57.4,54.5,55.5,0.134,0.3,-0.166,NO,0.72,False,0.27
NY,2026-05-23,KXHIGHNY-26MAY23-B60.5,56.9,57.4,60.5,61.5,0.04,0.18,-0.14,NO,0.84,False,0.15
NY,2026-05-23,KXHIGHNY-26MAY23-B58.5,56.9,57.4,58.5,59.5,0.084,0.3,-0.216,NO,0.72,False,0.27
NY,2026-05-23,KXHIGHNY-26MAY23-B56.5,56.9,57.4,56.5,57.5,0.194,0.8,-0.606,NO,0.22,True,-0.23
NY,2026-05-24,KXHIGHNY-26MAY24-B62.5,56.9,59.3,62.5,63.5,0.0,0.15,-0.15,NO,0.87,False,0.12
NY,2026-05-24,KXHIGHNY-26MAY24-B64.5,56.9,59.3,64.5,65.5,0.0,0.16,-0.16,NO,0.86,False,0.13
NY,2026-05-25,KXHIGHNY-26MAY25-B72.5,75.8,73.6,72.5,73.5,0.102,0.51,-0.408,NO,0.51,False,0.47
NY,2026-05-26,KXHIGHNY-26MAY26-B79.5,82.3,78.8,79.5,80.5,0.136,0.6,-0.464,NO,0.42,False,0.56
NY,2026-05-26,KXHIGHNY-26MAY26-B81.5,82.3,78.8,81.5,82.5,0.22,0.32,-0.1,NO,0.7,False,0.29
NY,2026-05-26,KXHIGHNY-26MAY26-B77.5,82.3,78.8,77.5,78.5,0.037,0.23,-0.193,NO,0.79,False,0.2
NY,2026-05-27,KXHIGHNY-26MAY27-B79.5,84.7,81.6,79.5,80.5,0.033,0.79,-0.757,NO,0.23,False,0.76
NY,2026-05-27,KXHIGHNY-26MAY27-B81.5,84.7,81.6,81.5,82.5,0.112,0.23,-0.118,NO,0.79,True,-0.8
NY,2026-05-27,KXHIGHNY-26MAY27-B83.5,84.7,81.6,83.5,84.5,0.139,0.34,-0.201,NO,0.68,False,0.3
NY,2026-05-28,KXHIGHNY-26MAY28-B76.5,74.9,76.5,76.5,77.5,0.084,0.38,-0.296,NO,0.64,True,-0.66
CHI,2026-05-20,KXHIGHCHI-26MAY20-B57.5,62.7,60.3,57.5,58.5,0.055,0.28,-0.225,NO,0.74,False,0.25
CHI,2026-05-20,KXHIGHCHI-26MAY20-B61.5,62.7,60.3,61.5,62.5,0.129,0.86,-0.731,NO,0.16,False,0.83
CHI,2026-05-20,KXHIGHCHI-26MAY20-B59.5,62.7,60.3,59.5,60.5,0.213,0.39,-0.177,NO,0.63,True,-0.65
CHI,2026-05-21,KXHIGHCHI-26MAY21-B60.5,58.0,58.3,60.5,61.5,0.018,0.41,-0.392,NO,0.61,False,0.37
CHI,2026-05-22,KXHIGHCHI-26MAY22-B70.5,66.9,66.4,70.5,71.5,0.0,0.1,-0.1,NO,0.92,False,0.07
CHI,2026-05-22,KXHIGHCHI-26MAY22-B66.5,66.9,66.4,66.5,67.5,0.125,0.25,-0.125,NO,0.77,False,0.22
CHI,2026-05-22,KXHIGHCHI-26MAY22-B68.5,66.9,66.4,68.5,69.5,0.059,0.21,-0.151,NO,0.81,False,0.18
CHI,2026-05-23,KXHIGHCHI-26MAY23-B73.5,70.7,72.7,73.5,74.5,0.0,0.19,-0.19,NO,0.83,False,0.16
CHI,2026-05-23,KXHIGHCHI-26MAY23-B69.5,70.7,72.7,69.5,70.5,0.129,0.61,-0.481,NO,0.41,False,0.57
CHI,2026-05-24,KXHIGHCHI-26MAY24-B74.5,75.4,76.2,74.5,75.5,0.167,0.41,-0.243,NO,0.61,False,0.37
CHI,2026-05-24,KXHIGHCHI-26MAY24-B78.5,75.4,76.2,78.5,79.5,0.0,0.22,-0.22,NO,0.8,False,0.19
CHI,2026-05-24,KXHIGHCHI-26MAY24-B76.5,75.4,76.2,76.5,77.5,0.099,0.51,-0.411,NO,0.51,False,0.47
CHI,2026-05-25,KXHIGHCHI-26MAY25-B84.5,84.9,87.3,84.5,85.5,0.125,0.64,-0.515,NO,0.38,False,0.6
CHI,2026-05-25,KXHIGHCHI-26MAY25-B86.5,84.9,87.3,86.5,87.5,0.059,0.19,-0.131,NO,0.83,True,-0.84
CHI,2026-05-26,KXHIGHCHI-26MAY26-B87.5,84.4,87.6,87.5,88.5,0.0,0.2,-0.2,NO,0.82,True,-0.83
CHI,2026-05-26,KXHIGHCHI-26MAY26-B85.5,84.4,87.6,85.5,86.5,0.099,0.51,-0.411,NO,0.51,False,0.47
CHI,2026-05-26,KXHIGHCHI-26MAY26-B83.5,84.4,87.6,83.5,84.5,0.167,0.26,-0.093,NO,0.76,False,0.23
CHI,2026-05-27,KXHIGHCHI-26MAY27-B81.5,82.9,84.4,81.5,82.5,0.119,0.74,-0.621,NO,0.28,False,0.71
CHI,2026-05-27,KXHIGHCHI-26MAY27-B85.5,82.9,84.4,85.5,86.5,0.012,0.1,-0.088,NO,0.92,False,0.07
CHI,2026-05-27,KXHIGHCHI-26MAY27-B83.5,82.9,84.4,83.5,84.5,0.168,0.46,-0.292,NO,0.56,True,-0.58
CHI,2026-05-28,KXHIGHCHI-26MAY28-B70.5,71.0,72.1,70.5,71.5,0.13,0.58,-0.45,NO,0.44,False,0.54
CHI,2026-05-28,KXHIGHCHI-26MAY28-B72.5,71.0,72.1,72.5,73.5,0.064,0.46,-0.396,NO,0.56,False,0.42
LAX,2026-05-21,KXHIGHLAX-26MAY21-B70.5,70.4,73.2,70.5,71.5,0.147,0.48,-0.333,NO,0.54,False,0.44
LAX,2026-05-21,KXHIGHLAX-26MAY21-B74.5,70.4,73.2,74.5,75.5,0.01,0.35,-0.34,NO,0.67,False,0.31
LAX,2026-05-21,KXHIGHLAX-26MAY21-B72.5,70.4,73.2,72.5,73.5,0.09,0.66,-0.57,NO,0.36,True,-0.38
LAX,2026-05-22,KXHIGHLAX-26MAY22-B64.5,66.6,65.9,64.5,65.5,0.116,0.2,-0.084,NO,0.82,False,0.17
LAX,2026-05-22,KXHIGHLAX-26MAY22-B70.5,66.6,65.9,70.5,71.5,0.013,0.12,-0.107,NO,0.9,False,0.09
LAX,2026-05-22,KXHIGHLAX-26MAY22-B68.5,66.6,65.9,68.5,69.5,0.115,0.44,-0.325,NO,0.58,False,0.4
LAX,2026-05-22,KXHIGHLAX-26MAY22-B66.5,66.6,65.9,66.5,67.5,0.144,0.32,-0.176,NO,0.7,False,0.29
LAX,2026-05-23,KXHIGHLAX-26MAY23-B67.5,66.5,65.4,67.5,68.5,0.128,0.81,-0.682,NO,0.21,False,0.78
LAX,2026-05-23,KXHIGHLAX-26MAY23-B69.5,66.5,65.4,69.5,70.5,0.037,0.12,-0.083,NO,0.9,False,0.09
LAX,2026-05-24,KXHIGHLAX-26MAY24-B66.5,67.4,64.3,66.5,67.5,0.213,0.49,-0.277,NO,0.53,False,0.45
LAX,2026-05-24,KXHIGHLAX-26MAY24-B68.5,67.4,64.3,68.5,69.5,0.152,0.43,-0.278,NO,0.59,False,0.39
LAX,2026-05-24,KXHIGHLAX-26MAY24-B62.5,67.4,64.3,62.5,63.5,0.028,0.2,-0.172,NO,0.82,False,0.17
LAX,2026-05-25,KXHIGHLAX-26MAY25-B63.5,68.8,65.5,63.5,64.5,0.01,0.1,-0.09,NO,0.92,False,0.07
LAX,2026-05-25,KXHIGHLAX-26MAY25-B69.5,68.8,65.5,69.5,70.5,0.158,0.76,-0.602,NO,0.26,False,0.73
LAX,2026-05-25,KXHIGHLAX-26MAY25-B65.5,68.8,65.5,65.5,66.5,0.124,0.21,-0.086,NO,0.81,True,-0.82
LAX,2026-05-25,KXHIGHLAX-26MAY25-B67.5,68.8,65.5,67.5,68.5,0.198,0.3,-0.102,NO,0.72,False,0.27
LAX,2026-05-26,KXHIGHLAX-26MAY26-B68.5,67.8,65.7,68.5,69.5,0.158,0.68,-0.522,NO,0.34,False,0.64
LAX,2026-05-26,KXHIGHLAX-26MAY26-B66.5,67.8,65.7,66.5,67.5,0.198,0.59,-0.392,NO,0.43,False,0.55
LAX,2026-05-27,KXHIGHLAX-26MAY27-B66.5,65.9,64.4,66.5,67.5,0.159,0.3,-0.141,NO,0.72,False,0.27
LAX,2026-05-27,KXHIGHLAX-26MAY27-B68.5,65.9,64.4,68.5,69.5,0.048,0.58,-0.532,NO,0.44,False,0.54
LAX,2026-05-28,KXHIGHLAX-26MAY28-B67.5,67.7,65.7,67.5,68.5,0.154,0.75,-0.596,NO,0.27,False,0.72
LAX,2026-05-28,KXHIGHLAX-26MAY28-B71.5,67.7,65.7,71.5,72.5,0.014,0.2,-0.186,NO,0.82,False,0.17
MIA,2026-05-20,KXHIGHMIA-26MAY20-B88.5,84.9,85.6,88.5,89.5,0.0,0.61,-0.61,NO,0.41,False,0.57
MIA,2026-05-20,KXHIGHMIA-26MAY20-B86.5,84.9,85.6,86.5,87.5,0.04,0.19,-0.15,NO,0.83,False,0.16
MIA,2026-05-21,KXHIGHMIA-26MAY21-B87.5,87.5,86.9,87.5,88.5,0.19,0.38,-0.19,NO,0.64,False,0.34
MIA,2026-05-21,KXHIGHMIA-26MAY21-B89.5,87.5,86.9,89.5,90.5,0.047,0.58,-0.533,NO,0.44,False,0.54
MIA,2026-05-21,KXHIGHMIA-26MAY21-B91.5,87.5,86.9,91.5,92.5,0.0,0.19,-0.19,NO,0.83,False,0.16
MIA,2026-05-22,KXHIGHMIA-26MAY22-B91.5,87.2,85.7,91.5,92.5,0.0,0.2,-0.2,NO,0.82,False,0.17
MIA,2026-05-22,KXHIGHMIA-26MAY22-B89.5,87.2,85.7,89.5,90.5,0.053,0.67,-0.617,NO,0.35,False,0.63
MIA,2026-05-23,KXHIGHMIA-26MAY23-B91.5,87.0,86.0,91.5,92.5,0.0,0.2,-0.2,NO,0.82,False,0.17
MIA,2026-05-23,KXHIGHMIA-26MAY23-B85.5,87.0,86.0,85.5,86.5,0.3,0.55,-0.25,NO,0.47,True,-0.49
MIA,2026-05-23,KXHIGHMIA-26MAY23-B89.5,87.0,86.0,89.5,90.5,0.049,0.65,-0.601,NO,0.37,False,0.61
MIA,2026-05-24,KXHIGHMIA-26MAY24-B85.5,87.2,85.7,85.5,86.5,0.258,0.13,0.128,YES,0.15,True,0.84
MIA,2026-05-24,KXHIGHMIA-26MAY24-B87.5,87.2,85.7,87.5,88.5,0.181,0.4,-0.219,NO,0.62,False,0.36
MIA,2026-05-24,KXHIGHMIA-26MAY24-B89.5,87.2,85.7,89.5,90.5,0.053,0.52,-0.467,NO,0.5,False,0.48
MIA,2026-05-25,KXHIGHMIA-26MAY25-B91.5,88.2,86.5,91.5,92.5,0.0,0.11,-0.11,NO,0.91,False,0.08
MIA,2026-05-25,KXHIGHMIA-26MAY25-B89.5,88.2,86.5,89.5,90.5,0.051,0.7,-0.649,NO,0.32,False,0.66
MIA,2026-05-26,KXHIGHMIA-26MAY26-B88.5,86.9,86.6,88.5,89.5,0.04,0.53,-0.49,NO,0.49,False,0.49
MIA,2026-05-26,KXHIGHMIA-26MAY26-B90.5,86.9,86.6,90.5,91.5,0.0,0.36,-0.36,NO,0.66,False,0.32
MIA,2026-05-27,KXHIGHMIA-26MAY27-B87.5,87.2,86.4,87.5,88.5,0.181,0.37,-0.189,NO,0.65,False,0.33
MIA,2026-05-27,KXHIGHMIA-26MAY27-B91.5,87.2,86.4,91.5,92.5,0.0,0.43,-0.43,NO,0.59,False,0.39
MIA,2026-05-27,KXHIGHMIA-26MAY27-B89.5,87.2,86.4,89.5,90.5,0.053,0.62,-0.567,NO,0.4,False,0.58
MIA,2026-05-28,KXHIGHMIA-26MAY28-B89.5,83.6,84.1,89.5,90.5,0.0,0.36,-0.36,NO,0.66,False,0.32
