settle_date,ticker,side,entry_price,contracts,result,settle_price,pnl_dollars,source_workflow
2026-06-06,KXHIGHNY-26JUN06-B89.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-06,KXHIGHCHI-26JUN06-B83.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-06,KXHIGHMIA-26JUN06-B87.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-06,KXHIGHLAX-26JUN06-B71.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-06,KXHIGHLAX-26JUN06-T72,yes,0.0,0,yes,1.0,0.0,midday
2026-06-06,KXHIGHCHI-26JUN06-B85.5,no,0.0,0,no,1.0,0.0,midday
2026-06-07,KXHIGHAUS-26JUN07-B89.5,yes,0.42,1,no,0.0,-0.42,midday
2026-06-07,KXHIGHLAX-26JUN07-B72.5,no,0.55,1,yes,0.0,-0.55,midday
2026-06-07,KXHIGHAUS-26JUN07-B87.5,yes,0.12,7,no,0.0,-0.84,midday
2026-06-07,KXHIGHAUS-26JUN07-B89.5,yes,0.46,1,no,0.0,-0.46,midday
2026-06-07,KXHIGHMIA-26JUN07-B89.5,no,0.7,2,yes,0.0,-1.4,midday
2026-06-07,KXHIGHMIA-26JUN07-B87.5,yes,0.19,4,no,0.0,-0.76,midday
2026-06-07,KXHIGHCHI-26JUN07-B83.5,no,0.42,1,yes,0.0,-0.42,midday
2026-06-07,KXHIGHAUS-26JUN07-B91.5,yes,0.37,2,yes,1.0,1.26,midday
2026-06-07,KXHIGHLAX-26JUN07-B70.5,no,0.27,1,no,1.0,0.73,midday
2026-06-07,KXHIGHLAX-26JUN07-B72.5,no,0.47,1,yes,0.0,-0.47,midday
2026-06-07,KXHIGHCHI-26JUN07-B81.5,yes,0.52,1,no,0.0,-0.52,midday
2026-06-07,KXHIGHLAX-26JUN07-T73,no,0.29,1,no,1.0,0.71,midday
2026-06-06,KXHIGHNY-26JUN06-B87.5,no,0.6,2,yes,0.0,-1.2,midday
2026-06-06,KXHIGHMIA-26JUN06-B87.5,no,0.88,6,yes,0.0,-5.28,midday
2026-06-06,KXHIGHCHI-26JUN06-B87.5,no,0.53,1,yes,0.0,-0.53,midday
2026-06-06,KXHIGHNY-26JUN06-B87.5,yes,0.2,4,yes,1.0,3.2,midday
2026-06-06,KXHIGHMIA-26JUN06-B85.5,yes,0.12,8,no,0.0,-0.96,midday
2026-06-06,KXHIGHLAX-26JUN06-B69.5,yes,0.26,3,no,0.0,-0.78,midday
2026-06-06,KXHIGHCHI-26JUN06-B87.5,no,0.25,1,yes,0.0,-0.25,midday
2026-06-06,KXHIGHAUS-26JUN06-B88.5,yes,0.2,1,no,0.0,-0.2,midday
